[error]: [ 29/04/2023:11:15:56 ] - {"message":"Erro ao salvar o arquivo."}
[error]: [ 04/05/2023:17:50:15 ] - {"mensage":"Erro ao buscar os chamados arquivados"}
[error]: [ 04/05/2023:17:50:39 ] - {"mensage":"Erro ao buscar os chamados arquivados"}
[error]: [ 04/05/2023:17:52:15 ] - {"mensage":"Erro ao buscar os chamados arquivados"}
[error]: [ 09/05/2023:11:14:24 ] - {"mensage":"Erro ao buscar os chamados arquivados"}
[error]: [ 09/05/2023:11:25:43 ] - {"mensage":"Erro ao buscar os chamados arquivados"}
[error]: [ 09/05/2023:11:26:15 ] - {"mensage":"Erro ao buscar os chamados arquivados"}
[error]: [ 10/05/2023:10:12:38 ] - {"mensage":"Erro ao buscar os chamados arquivados"}
[error]: [ 10/05/2023:10:12:38 ] - {"mensage":"Erro ao buscar os chamados arquivados"}
[error]: [ 10/05/2023:10:12:38 ] - {"mensage":"Erro ao buscar os chamados arquivados"}
[error]: [ 10/05/2023:10:12:38 ] - {"mensage":"Erro ao buscar os chamados arquivados"}
